season,st_id,beta
201904,6191,1.514777122
201904,6207,1.120355924
201904,6209,1.699918868
201904,6219,0.412009476
201904,6223,1.658139021
201904,6226,1.009445436
201904,6261,1.140436508
201904,8011,1.343337788
201904,8042,1.224354855
201904,8096,1.47574867
201904,8110,1.609890091
202002,1104,0.576307484
202002,1309,2.21712193
202002,1312,1.514574914
202002,1313,1.184244362
202002,1315,0.91198854
202002,1336,0.450200191
202002,1409,0.710012454
202002,1444,1.19353658
202002,1457,0.602950109
202002,1517,1.099443363
202002,1569,2.094410805
202002,1587,0.746113995
202002,1605,1.094514406
202002,1612,0.575637855
202002,1701,0.821760124
202002,1712,0.396320542
202002,1714,1.273967238
202002,1721,0.535596144
202002,1731,0.581772113
202002,1905,0.5177961
202002,1906,0.973241522
202002,1907,0.787664261
202002,2013,0.515165964
202002,2201,1.398576009
202002,2204,0.829734135
202002,2305,0.98794489
202002,2323,1.26965731
202002,2331,0.893003825
202002,2349,0.917074091
202002,2362,0.98090373
202002,2399,0.735442382
202002,2409,2.048747311
202002,2426,1.404446021
202002,2461,1.135149916
202002,2486,1.480095656
202002,2489,1.255831436
202002,2505,1.068318288
202002,2515,0.990736541
202002,2535,0.55733328
202002,2537,0.65369932
202002,2603,1.075140237
202002,2609,1.074424597
202002,2610,0.788447401
202002,2615,1.142069073
202002,2845,0.583121049
202002,3015,1.375371682
202002,3028,0.469186481
202002,3033,0.433301936
202002,3047,1.217827399
202002,3052,0.999670298
202002,3060,1.36345226
202002,3272,1.212450512
202002,3311,1.03107981
202002,3419,1.194360559
202002,3490,0.521835728
202002,3498,0.926128429
202002,3508,1.36998659
202002,3550,0.648005944
202002,3605,1.469820887
202002,3607,1.290568464
202002,3615,0.757250032
202002,3624,1.139135432
202002,3686,1.295299114
202002,3689,0.820416248
202002,3703,1.366940011
202002,3704,1.430837854
202002,3710,0.88648168
202002,4113,1.400587897
202002,4114,0.235403956
202002,4306,1.074512297
202002,4414,0.759827924
202002,4432,1.090610752
202002,4433,0.568384133
202002,4720,0.487657709
202002,4746,0.6032366
202002,4906,0.966871244
202002,4956,1.492750266
202002,4960,1.392817475
202002,4999,1.246151102
202002,5371,0.884920691
202002,5392,0.868789031
202002,5452,0.653856636
202002,5493,0.647567449
202002,5521,1.23384208
202002,6108,0.861745669
202002,6156,1.22833334
202002,6191,1.338865781
202002,6219,0.640894033
202002,6220,1.194923705
202002,6235,1.262036735
202002,6282,0.674389215
202002,6405,0.17112433
202002,8040,2.027915655
202002,8093,1.486999463
202002,8103,1.322177542
202002,8105,1.638937832
202002,8111,0.836401734
202002,8289,1.22821618
202002,8942,0.643361925
202002,9907,0.965614393
202103,1103,0.865233376
202103,1217,0.877980382
202103,1235,0.427735221
202103,1409,1.047644147
202103,1414,1.724990971
202103,1442,0.316396256
202103,1451,0.684641235
202103,1459,1.655669467
202103,1460,0.956788492
202103,1471,1.78508264
202103,1528,0.910777663
202103,1532,0.458576667
202103,1595,0.862330433
202103,1603,1.264912274
202103,1604,0.084188845
202103,1605,1.668357139
202103,1714,0.911967475
202103,1718,1.123907177
202103,1806,1.345620797
202103,1810,0.871724688
202103,1815,1.784514695
202103,2023,1.871072804
202103,2062,0.791352366
202103,2069,2.005416472
202103,2103,0.952852591
202103,2104,1.236578642
202103,2107,0.473548838
202103,2208,1.393890067
202103,2316,0.707892021
202103,2323,0.871246446
202103,2324,0.0293501
202103,2331,1.438621376
202103,2337,1.252900034
202103,2344,1.666510849
202103,2347,0.712733662
202103,2349,0.638953432
202103,2355,1.303909415
202103,2362,0.639672249
202103,2363,2.06378186
202103,2369,2.259585409
202103,2408,1.17913199
202103,2409,1.07575552
202103,2482,1.293102727
